Year,Month,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,vol_750ml_sale_dollars,vol_1000ml_sale_dollars,vol_1750ml_sale_dollars,other_vol_sale_dollars
2017,6,15337.030000000006,23007.459999999992,15394,220510.62999999936,14946.44,3949.0800000000454,107091.7499999997,47736.59999999994,55373.48999999986,10308.789999999985
2017,7,15042.88999999997,22566.230000000032,16416,246897.80999999953,17170.459999999995,4536.300000000053,94566.85999999974,42982.76999999997,99501.5199999996,9846.659999999993
2017,8,16773.370000000083,25162.200000000114,17688,230502.36999999956,18061.910000000007,4771.950000000063,100467.68999999975,56506.04999999995,64148.57999999995,9380.049999999997
2017,9,13233.120000000003,19851.24000000006,13060,197940.7899999995,13107.08,3463.030000000037,82743.67999999982,33900.99000000001,68935.88999999981,12360.22999999999
2017,10,16250.80999999999,24378.21,16171,250990.28999999925,14958.339999999998,3951.9300000000508,138452.36000000002,53374.14999999997,48092.59999999987,11071.179999999988
2017,11,18475.969999999958,27716.32000000013,16557,258707.92999999944,15711.320000000002,4151.280000000056,129690.64000000004,74015.68000000002,45905.78999999997,9095.819999999994
2017,12,21351.920000000046,32030.620000000155,20247,317494.76999999845,20284.08,5358.960000000089,152259.05000000002,54529.53999999992,98510.01999999961,12196.159999999982
2018,1,17075.61000000003,25615.479999999996,13435,192361.8099999996,12975.629999999997,3428.3200000000556,102012.91999999993,30065.730000000043,48129.54000000002,12153.61999999998
2018,2,13593.649999999967,20392.310000000085,12789,185986.9300000002,12671.600000000002,3347.8800000000356,90871.40000000002,38948.6,48081.27999999993,8085.650000000004
2018,3,14456.17,21686.07999999993,15748,208588.75999999943,15119.619999999997,3994.760000000051,96050.25,59733.01,42556.15999999992,10249.339999999993
2018,4,14952.329999999989,22430.260000000024,14537,191636.419999999,13766.039999999999,3637.350000000051,86000.24999999978,55938.52999999994,39730.219999999994,9967.419999999991
2018,5,18008.190000000002,27014.669999999984,20363,304632.5299999982,21631.410000000007,5714.9100000000835,113296.06999999989,60665.63999999996,120370.01999999964,10300.799999999994
2018,6,16879.42000000005,25321.290000000026,15135,226309.94999999972,14908.969999999998,3938.980000000043,100108.17999999973,51251.16999999998,65223.00000000004,9727.6
2018,7,15141.049999999972,22713.50000000009,13826,188455.1399999997,13702.16,3620.030000000056,88358.1599999999,43454.47999999996,45044.27000000002,11598.229999999989
2018,8,16090.669999999966,24138.270000000113,19276,288636.77999999974,21827.379999999994,5759.230000000072,83667.8799999997,63011.57999999992,132430.04999999967,9527.269999999999
