invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
S18165100045,2014-03-31,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POINT (-93.73162 41.571127),77,Polk,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S17075400021,2014-01-28,2959,Dahl's / Merle Hay,4343 MERLE HAY ROAD,DES MOINES,50310,POINT (-93.697647 41.63740800000001),77,Polk,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S20170500009,2014-07-17,4683,New Star 3 / Waterloo,1459 ANSBOROUGH AVE,WATERLOO,50701,POINT (-92.376863 42.493091),07,Black Hawk,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S19572400061,2014-06-17,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,Marshall,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S22533800041,2014-11-21,2517,Hy-Vee Food Store #1 / Newton,1501 FIRST AVENUE EAST,NEWTON,50208,POINT (-93.034296 41.69916),50,Jasper,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S22957300005,2014-12-15,2527,Hy-Vee Food Store #5 / Des Moines,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.602372 41.526289),77,Polk,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S20957100094,2014-08-29,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.773557 41.561197),77,Polk,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S22214000008,2014-11-05,3916,Smokin' Joe's #5 Tobacco and Liquor,1115 ALBIA RD,OTTUMWA,52501,POINT (-92.437224 41.009342),90,Wapello,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S19672700085,2014-06-23,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,POINT (-93.621824 41.705188),77,Polk,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S22073500012,2014-10-30,4847,Slagle Foods LeClaire,1301 EAGLE RIDGE RD,LECLAIRE,52753,POINT (-90.359813 41.587349),82,Scott,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S19801400016,2014-06-27,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,POINT (-91.403752 40.41538),56,Lee,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
S23214900004,2014-12-27,5008,Emmetsburg Food Pride,1307 S BROADWAY ST,EMMETSBURG,50536,POINT (-94.687618 43.10783000000001),74,Palo Alto,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26,10.5,2.77,2014
